Leonora Carrington,,,
LeRoy Neiman,,,
Les Edwards,,,
Lichtenstein,,,
Lisa Frank,,,
Lois Van Baarle,,,
Lotte Reiniger,,,
Louis Comfort Tiffany,,,
Louis Glackens,,,
Louis Janmot,,,
Louis Rhead,,,
Louis Wain,,,
Louise Bourgeois,,,
Louise Nevelson,,,
Lovis Corinth,,,
Luc Schuiten,,,
Lucas Cranach The Elder,,,
Lucas Graciano,,,
Lucian Freud,,,
Luis Royo,,,
Lynda Benglis,,,
Lyonel Feininger,,,
Lyubov Popova,,,
M.C. Escher,,,
M.W. Kaluta,,,
Mab Graves,,,
Maciej Kuciara,,,
Magali Villeneuve,,,
MagnaLuna,,,
Makoto Shinkai,,,
Malcolm Liepke,,,
Malevich,,,
Man Ray,,,
Marc Chagall,,,
Marc Simonetti,,,
Marcel Chagall,,,
Marcel Duchamp,,,
Marcell Chagall,,,
Marco Mazzoni,,,
Margaret Macdonald Mackintosh,,,
Maria Sibylla Merian,,,
Marianne North,,,
Marianne von Werefkin,,,
Mario Testino,,,
Mark Brooks,,,
Mark Rothko,,,
Mark Ryden,,,
Marlene Dumas,,,
Marsden Hartley,,,
Martin Johnson Heade,,,
Martin Schoeller,,,
Martin Schongauer,,,
Martiros Saryan,,,
Mary Blair,,,
Mary Cassatt,,,
Mary Stevenson Cassatt,,,
Masaaki Sasamoto,,,
Masamune Shirow,,,
Masashi Kishimoto,,,
Mat Collishaw,,,
Mati Klarwein,,,
Matt Groening,,,
Matthäus Merian the Elder,,,
Matthäus Merian the Younger,,,
Matthias Grünewald,,,
Maurice Sendak,,,
Max Beckmann,,,
Max Ernst,,,
Max Liebermann,,,
Max Pechstein,,,
Max Weber,,,
Maxfield Parrish,,,
Mead Schaeffer,,,
Méret Oppenheim,,,
Meryl Mcmaster,,,
Michael Deforge,,,
Michael Parkes,,,
Michael Whelan,,,
Michaelangelo,,,
Michal Lisowski,,,
Michelangelo,,,
Michelangelo Buonarotti,,,
Michelangelo Buonarroti,,,
Michelangelo Merisi,,,
Michelangelo Merisi Da Caravaggio,,,
Miho Hirano,,,
Mikalojus Konstantinas Ciurlionis,,,
Mikalojus Konstantinas Čiurlionis,,,
Mike Grell,,,
Mike Hinge,,,
Mike Mignola,,,
Mike Winkelmann,,,
Mike Zeck,,,
Mikhail Vrubel,,,
Milo Manara,,,
Milton Avery,,,
Milton Caniff,,,
Milton Ernest Robert Rauschenberg,,,
Milton Glaser,,,
MirroredSea,,,
Moebius,,,
Mœbius,,,
Mondrian,,,
Monet,,,
Morris Louis Bernstein,,,
Morris Scott Dollens,,,
N. C. Wyeth,,,
N.C. Wyeth,,,
Naoki Urasawa,,,
Naoto Hattori,,,
Natalia Goncharova,,,
Neal Adams,,,
Nedroid,,,
Neil Welliver,,,
Nicholas Roerich,,,
Nick Knight,,,
Nick Park,,,
Nicolas De Stael,,,
Nicolas Poussin,,,
Noah Bradley,,,
Nobuyoshi Araki,,,
Noriyoshi Ohrai,,,
Norman Rockwell,,,
Odd Nerdrum,,,
Odilon Redon,,,
Ohara Koson,,,
Okuda San Miguel,,,
Osamu Tezuka,,,
Oskar Kokoschka,,,
Otto Dix,,,
Otto Marseus van Schrieck,,,
P Craig Russell,,,
Pablo Picasso,,,
Paolo Uccello,,,
Paolo Veronese,,,
Parmigianino,,,
Pascal Campion,,,
Patrick Heron,,,
Patrick Woodroffe,,,
Paul Cezanne,,,
Paul Cézanne,,,
Paul Delaroche,,,
Paul Delvaux,,,
Paul Gauguin,,,
Paul Gulacy,,,
Paul Gustav Fischer,,,
Paul Gustave Fischer,,,
Paul Klee,,,
Paul Laffoley,,,
Paul Lehr,,,
Paul Outerbridge,,,
Paul Pope,,,
Paul Rand,,,
Paul Signac,,,
Paula Modersohn-Becker,,,
Peder Severin Kroyer,,,
Pendleton Ward,,,
Peter Andrew Jones,,,
Peter Bagge,,,
Peter Blake,,,
Peter Elson,,,
Peter Gric,,,
Peter Lindbergh,,,
Peter Max,,,
Peter Mohrbacher,,,
Peter Paul Rubens,,,
Peter Zumthor,,,
Phil Foglio,,,
Philip Guston,,,
Philipp Otto Runge,,,
Philippe Caza,,,
Philippe Druillet,,,
Piero Della Francesca,,,
Pierre Bonnard,,,
Pierre Puvis De Chavannes,,,
Pierre-Auguste Renoir,,,
Piet Mondrian,,,
Pieter Aertsen,,,
Pieter Bruegel,,,
Pieter Bruegel the Elder,,,
Pieter Brueghel The Younger,,,
Pieter Claesz,,,
Pieter De Hooch,,,
Piper Thibodeau,,,
Pixar,,,
Pixelkitties,,,
Pontormo,,,
Quentin Blake,,,
Rafal Olbinski,,,
Raffaello Sanzio Da Urbino,,,
Raja Ravi Varma,,,
Ralph Bakshi,,,
Ralph McQuarrie,,,
Ralph Steadman,,,
Randolph Caldecott,,,
Raphael,,,
Raphael Lacoste,,,
Ray Caesar,,,
Raymond Briggs,,,
Raymond Swanland,,,
Rebecca Guay,,,
Rebecca Sugar,,,
Rembrandt,,,
Rembrandt van Rijn,,,
Remedios Varo,,,
Rene Magritte,,,
Reylia Slaby,,,
RHADS,,,
Richard Corben,,,
Richard Dadd,,,
Richard Diebenkorn,,,
Richard Doyle,,,
Richard Hamilton,,,
Richard Hescox,,,
Richard Lindner,,,
Richard Powers,,,
Richard Scarry,,,
Richard Warren Pousette-Dart,,,
Rick Guidice,,,
Ridley Scott,,,
Rob Gonsalves,,,
Rob Liefeld,,,
Robert Bechtle,,,
Robert Crumb,,,
Robert Delaunay,,,
Robert Indiana,,,
Robert McCall,,,
Robert Mcginnis,,,
Robert Motherwell,,,
Robert Rauschenberg,,,
Robert Williams,,,
Roberto Da Matta,,,
Roberto Ferri,,,
Roberto Matta,,,
Rockwell Kent,,,
Rodney Durso,,,
Rodney Matthews,,,
Roger Ballen,,,
Roger Dean,,,
Roger Van Der Weyden,,,
Rogier Van Der Weyden,,,
Roland Topor,,,
Rolf Armstrong,,,
Ron English,,,
Ron Walotsky,,,
Ross Tran,,,
Rosso Fiorentino,,,
Rowena Morrill,,,
Roy Lichtenstein,,,
Roz Chast,,,
Ruan Jia,,,
Rube Goldberg,,,
Rufino Tamayo,,,
Rumiko Takahashi,,,
Russ Mills,,,
Ruth Bernhard,,,
Ruysdael,,,
Ryan Hewett,,,
Ryohei Hase,,,
Sailor Moon,,,
Sal Buscema,,,
Sally Mann,,,
Salvador Dali,,,
Salvador Dalí,,,
Sam Guay,,,
Sam Spratt,,,
Sandra Chevrier,,,
Sandro Botticelli,,,
Sandy Skoglund,,,
Santiago Caruso,,,
Sarah Morris,,,
Satoshi Kon,,,
Saul Bass,,,
Saul Steinberg,,,
Saul Tepper,,,
Sebastiano Ricci,,,
Sergio Aragones,,,
Sergio Toppi,,,
Shaun Tan,,,
Shepard Fairey,,,
Sherree Valentine Daines,,,
Shinji Aramaki,,,
Shintaro Kago,,,
Shotaro Ishinomori,,,
Shusei Nagaoka,,,
Sidney Nolan,,,
Simon Bisley,,,
Simon Stalenhag,,,
Simone Martini,,,
Sir James Guthrie,,,
Sir John Tenniel,,,
Sir Peter Paul Rubens,,,
Slim Aarons,,,
Sofonisba Anguissola,,,
Sonia Delaunay,,,
Sophie Anderson,,,
Stan And Jan Berenstain,,,
Stanisław Wyspiański,,,
Stanley Donwood,,,
