[Artist Name],[Artist style Trained?],[Midjourney (prompt: artwork by <artist full name>)],[Midjourney (prompt: portrait of a person by <artist full name> --ar 2:3)],[Midjourney (prompt: environment design by <artist full name> --ar 16:9)],[extra example],"Author Specific prompt [first column for prompt, second for image] (author speciality)",
Edouard Manet,Yes,,,,,,
Édouard Manet,Yes,,,,,,
Edvard Munch,Yes,,,,,,
Edward Burne-Jones,Yes,,,,,,
Edward Gorey,Yes,,,,,,
Edward Hopper,Yes,,,,,,
Edward Kemble,NO,,,,,,
Edward Lear,Yes,,,,,,
Edward Moran,Yes,,,,,,
Edward Robert Hughes,Yes,,,,,,
Edward Ruscha,Yes,,,,,,
Edward Sorel,NO,,,,,,
Edward Weston,Yes,,,,,,
Edwin Austin Abbey,Yes,,,,,,
Edwin Deakin,Yes,,,,,,
Edwin Henry Landseer,Yes,,,,,,
Edwin Lord Weeks,Yes,,,,,,
Egon Schiele,Yes,,,,,,
Eiichiro Oda,Yes,,,,,,
Eiki Eiki,NO,,,,,,
Eileen Agar,Yes,,,,,,
El Greco,Yes,,,,,,
Elaine de Kooning,Yes,,,,,,
Elaine Marie Catherine De Kooning,Yes,,,,,,
Eleanor Vere Boyle,NO,,,,,,
Elizabeth Catlett,Yes,,,,,,
Elizabeth Murray,NO,,,,,,
Elizabeth Shippen Green,Yes,,,,,,
Ellen Jewett,Yes,,,,,,
Elliott Erwitt,Yes,,,,,,
Elsa Beskow,Yes,,,,,,
Elwood H. Smith,NO,,,,,,
Emil Ferris,NO,,,,,,
Emil Melmoth,Yes,,,,,,
Emil Nolde,Yes,,,,,,
Émile Bernard,Yes,,,,,,
Emile Nolde,Yes,,,,,,
Emma Geary,NO,,,,,,
Emma Ríos,NO,,,,,,
Emmanuel Shiu,Yes,,,,,,
Emory Douglas,Yes,,,,,,
Emura,NO,,,,,,
Enki Bilal,Yes,,,,,,
Enzhe Zhao,NO,,,,,,
Enzo Sciotti,NO,,,,,,3
Equestria Prevails,Yes,,,,,,
Eric Auld,NO,,,,,,
Eric Lacombe,Yes,,,,,,
Eric Lafforgue,NO,,,,,,
Eric Peterson,NO,,,,,,
Eric W Schwartz,NO,,,,,,
Erich Heckel,Yes,,,,,,
Ernie Bushmiller,Yes,,,,,,
Ernst Fuchs,Yes,,,,,,
Ernst Haeckel,Yes,,,,,,
Ernst Ludwig Kirchner,Yes,,,,,,
Erol Otus,NO,,,,,,
Esao Andrews,Yes,,,,,,
Est Em,NO,,,,,,
Esteban Maroto,Yes,,,,,,
Esteban Vicente,NO,,,,,,
Ethan Van Sciver,Yes,,,,,,
Ethel Hays,NO,,,,,,
Etien,NO,,,,,,
Etienne Delessert,NO,,,,,,
Eugene Delacroix,Yes,,,,,,
Eugène Delacroix,Yes,,,,,,
Eugene Leroy,?,,,,,,
