[Artist Name],[Artist style Trained?],[Midjourney (prompt: artwork by <artist full name>)],[Midjourney (prompt: portrait of a person by <artist full name> --ar 2:3)],[Midjourney (prompt: environment design by <artist full name> --ar 3:2)]
Ethel Spowers,?,,,
Eugène Atget,Yes,,,
Eugene Atget,Yes,,,
Eugene Boudin,Yes,,,
Eugene Carriere,Yes,,,
Eugene Delacroix,Yes,,,
Eugene Grasset,Yes,,,
Eugene Von Bruenchenhein,NO,,,
Eugenio Recuenco,Yes,,,
Eva Hesse,Yes,,,
Eve Ventrue,Yes,,,
Evelyn De Morgan,Yes,,,
Ewin Wurm,Yes,,,
Exekias,NO,,,
Eyvind Earle,Yes,,,
Ezra Stoller,Yes,,,
F. Scott Hess,?,,,
FAILE,Yes,,,
Fairfield Porter,Yes,,,
Faith Ringgold,Yes,,,
Fan Ho,Yes,,,
Fang Lijun,Yes,,,
Farel Dalrymple,Yes,,,
Fay Godwin,Yes,,,
Federico Fellini,?,,,
Felice Casorati,Yes,,,
Felicia Simion,Yes,,,
Félicien Rops,Yes,,,
Felipe Pantone,Yes,,,
Fenghua Zhong,?,,,
Ferdinand Hodler,Yes,,,
Fernand Khnopff,Yes,,,
Fernand Leger,Yes,,,
Fernando Amorsolo,Yes,,,
Fernando Botero,Yes,,,
Fernando Chamarelli,Yes,,,
Filip Dujardin,Yes,,,
Filippino Lippi,Yes,,,
Finn Juhl,Yes,,,
Florence Henri,Yes,,,
Florence Knoll,Yes,,,
Ford Madox Brown,Yes,,,
Fra Angelico,Yes,,,
Frances Hodgkins,Yes,,,
Francesca Woodman,Yes,,,
Francesco Francavilla,Yes,,,
Francis Bacon,Yes,,,
Francis Coates Jones,Yes,,,
Francis Picabia,Yes,,,
Francisco Goya,Yes,,,
Francisco Zurbaran,Yes,,,
Franco Fontana,Yes,,,
François Boucher,Yes,,,
Francois Schuiten,Yes,,,
Frank Auerbach,Yes,,,
Frank Brunner,?,,,
Frank Cho,Yes,,,
Frank Frazetta,Yes,,,
Frank Gehry,Yes,,,
Frank Horvat,Yes,,,
Frank Kozik,Yes,,,
Frank Lloyd Wright,Yes,,,
Frank Miller,Yes,,,
Frank Quitely,Yes,,,
Frank Stella,Yes,,,
Frank Thorne,Yes,,,
Frank Weston Benson,Yes,,,
Frank Xavier Leyendecker,Yes,,,
Franklin Booth,Yes,,,
Frans Hals,Yes,,,
Frans Lanting,Yes,,,
Frans Masereel,Yes,,,
Frans Snyders,Yes,,,
Frantisek Kupka,Yes,,,
Franz Kline,Yes,,,
Franz Marc,Yes,,,
Franz Sedlacek,Yes,,,
Franz Stuck,Yes,,,
Franz West,Yes,,,
Franz Xaver Winterhalter,Yes,,,
Fred Tomaselli,Yes,,,
Frederic Bazille,Yes,,,
Frederic Edwin Church,Yes,,,
Frederic Remington,Yes,,,
Frederick Leighton,Yes,,,
Frederick Mccubbin,Yes,,,
Frida Kahlo,Yes,,,
Friedel Dzubas,Yes,,,
Friedensreich Hundertwasser,Yes,,,
Frieke Janssens,Yes,,,
Fritz Henle,Yes,,,
Fritz Lang,?,,,
Fritz Scholder,Yes,,,
Fumihiko Maki,Yes,,,
Gabriel Orozco,NO,,,
Gabriele Munter,Yes,,,
Gaetano Pesce,Yes,,,
Gareth Pugh,Yes,,,
Garry Trudeau,Yes,,,
Garry Winogrand,Yes,,,
Gary Baseman,Yes,,,
Gary Bunt,Yes,,,
Gary Larson,Yes,,,
Gary Panter,Yes,,,
Gaston Bussiere,Yes,,,
Gaston La Touche,Yes,,,
Gaston Lachaise,Yes,,,
Gediminas Pranckevicius,Yes,,,
Geertgen Tot Sint Jans,Yes,,,
Gemma Correll,Yes,,,
Gene Colan,Yes,,,
Genndy Tartakovsky,Yes,,,
Gentile Bellini,Yes,,,
Geof Darrow,Yes,,,
Geof Kern,Yes,,,
Geoff Johns,Yes,,,
Geoffrey Beene,Yes,,,
George B. Bridgman,Yes,,,
George Barris,Yes,,,
George Bellows,Yes,,,
George Birrell,Yes,,,
George Condo,Yes,,,
George Cruikshank,Yes,,,
George Frederic Watts,Yes,,,
George Grosz,Yes,,,
George Hurrell,Yes,,,
George Inness,Yes,,,
George Luks,Yes,,,
George Perez,Yes,,,
George Segal,Yes,,,
George Stubbs,Yes,,,
Georges Braque,Yes,,,
Georges Lacombe,Yes,,,
Georges Melies,Yes,,,
Georges Rouault,Yes,,,
Georges Seurat,Yes,,,
Georges Valmier,Yes,,,
Georges Wolinski,Yes,,,
Georgia O’Keeffe,Yes,,,
Georgios Jakobides,Yes,,,
Gerald Brom,Yes,,,
Gerald Scarfe,Yes,,,
Gerard David,Yes,,,
Gerard van Honthorst,Yes,,,
Gerda Taro,Yes,,,
Gerda Wegener,Yes,,,
Gerhard Richter,Yes,,,
Gertrude Abercrombie,Yes,,,
Gertrude Käsebier,Yes,,,
Giacomo Balla,Yes,,,
Gian Lorenzo Bernini,Yes,,,
Gil Elvgren,Yes,,,
Gil Kane,Yes,,,
Gilbert Shelton,Yes,,,
Gino Severini,Yes,,,
Giorgio Armani,Yes,,,
Giorgio de Chirico,Yes,,,
Giorgio Morandi,Yes,,,
Giorgione,Yes,,,
Giotto Di Bondone,Yes,,,
Giovanni Battista Piranesi,Yes,,,
Giovanni Battista Tiepolo,Yes,,,
Giovanni Bellini,Yes,,,
Giuseppe Arcimboldo,Yes,,,
Giuseppe Camuncoli,NO,,,
Gjon Mili,Yes,,,
Glen Keane,Yes,,,
Glenn Fabry,Yes,,,
Glenn Ligon,Yes,,,
Go Nagai,Yes,,,
Gordon Matta-Clark,Yes,,,
Gordon Parks,Yes,,,
Goro Fujita,Yes,,,
Gosha Rubchinskiy,?,,,
Gottfried Helnwein,Yes,,,
Govert Flinck,Yes,,,
Graciela Iturbide,Yes,,,
Graham Sutherland,Yes,,,
Grandma Moses,Yes,,,
Grant Morrison,NO,,,
Grant Wood,Yes,,,
Gray Malin,Yes,,,
Gray Morrow,Yes,,,
Greg 'Craola' Simkins,Yes,,,
Greg Hildebrandt,Yes,,,
Gregory Crewdson,Yes,,,
Gregory Manchess,?,,,
Grete Stern,Yes,,,
Gucci,Yes,,,
Guido Borelli da Caluso,Yes,,,
Guido Crepax,Yes,,,
Gustaf Tenggren,Yes,,,
Gustav Klimt,Yes,,,
Gustav Vigeland,Yes,,,
Gustav-Adolf Mossa,?,,,
Gustave Caillebotte,Yes,,,
Gustave Courbet,Yes,,,
Gustave Doré,Yes,,,
Gustave Moreau,Yes,,,
Gustave Van de Woestijne,?,,,
Guy Bourdin,Yes,,,
Guy Buffet,Yes,,,
Guy Coheleach,Yes,,,
Guy Harvey,Yes,,,
Guy Rose,Yes,,,
Gwen John,Yes,,,
H.R. Giger,Yes,,,
Haider Ackermann,Yes,,,
Hajime Isayama,Yes,,,
Hajime Sorayama,Yes,,,
Hal Foster,Yes,,,
Hanna-Barbera,Yes,,,
Hannah Höch,Yes,,,
Hanne Darboven,Yes,,,
Hans Baldung,Yes,,,
Hans Bellmer,Yes,,,
Hans Hofmann,Yes,,,
Hans Holbein,Yes,,,
Hans Memling,Yes,,,
Harold Edgerton,Yes,,,
Harriet Backer,Yes,,,
Harry Callahan,Yes,,,
Harry Clarke,Yes,,,
Harry Rountree,?,,,
Harry Seidler,Yes,,,
Harvey Kurtzman,Yes,,,
Hasui Kawase,Yes,,,
Hayao Miyazaki,Yes,,,
Hector Guimard,Yes,,,
